sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
2,3347.0,0.43,0.42,-0.554,-1.687,4.8
2,3897.0,0.63,0.65,-0.06,-1.08,4.64
1,4014.0,0.58,0.64,-0.03,-1.101,4.68
1,4001.0,0.58,0.69,-0.05,-1.103,4.68
1,4005.0,0.58,0.64,-0.03,-1.101,4.68
1,3652.0,0.48,0.51,0.2,-1.538,4.66
2,3347.0,0.36,0.36,0.11,-1.824,4.81
3,3505.0,0.34,0.34,-0.12,-1.798,4.94
3,3522.0,0.46,0.46,-0.01,-1.539,4.78
3,3522.0,0.46,0.45,-0.01,-1.541,4.78
1,3324.0,0.28,0.27,0.0,-2.062,5.05
2,3384.0,0.32,0.31,-0.02,-1.963,4.89
2,3369.0,0.32,0.31,0.0,-1.937,4.84
1,3579.0,0.43,0.43,-0.09,-1.571,4.88
1,3867.0,0.61,0.63,-0.04,-1.12,4.65
1,3273.0,0.2,0.18,-0.12,-2.395,4.92
2,3722.0,0.49,0.5,-0.16,-1.387,4.77
2,3601.0,0.39,0.39,-0.09,-1.71,4.87
2,4120.0,0.68,0.65,0.24,-0.924,4.65
1,3387.0,0.41,0.41,0.12,-1.706,4.97
1,3350.0,0.46,0.45,-0.03,-1.585,4.84
1,3291.0,0.34,0.33,-0.15,-1.916,4.82
1,6029.19,1.35,1.12,0.21,0.338,4.23
1,6234.0,1.26,1.29,0.28,0.36,4.39
1,3728.0,0.5,0.51,-0.14,-1.367,4.76
1,3685.0,0.5,0.52,-0.08,-1.377,4.75
1,3499.0,0.31,0.3,-0.38,-1.894,4.94
1,3734.0,0.5,0.51,-0.15,-1.361,4.76
1,3816.0,0.54,0.55,-0.15,-1.253,4.72
1,3837.0,0.56,0.57,-0.14,-1.217,4.71
1,3799.0,0.52,0.53,-0.02,-1.291,4.88
1,3913.0,0.56,0.58,0.08,-1.206,4.68
2,3600.0,0.41,0.41,-0.28,-1.585,4.98
2,3467.0,0.45,0.45,0.09,-1.59,4.8
1,5188.5,0.79,0.88,-0.234,-0.389,4.59
1,5151.0,0.8,0.8,-0.27,-0.377,4.54
2,3688.0,0.47,0.49,-0.06,-1.434,4.78
2,3676.32,0.5,0.54,-0.22,-1.384,4.77
1,3154.0,0.16,0.15,-0.13,-2.595,5.01
1,3836.0,0.57,0.59,0.05,-1.2,4.69
1,7000.0,1.56,1.68,0.35,0.727,4.27
1,3420.0,0.45,0.45,-0.25,-1.602,4.78
1,3805.0,0.51,0.52,0.13,-1.306,4.69
1,3654.0,0.43,0.43,-0.22,-1.523,4.88
1,3663.0,0.42,0.42,-0.3,-1.553,4.83
1,3656.0,0.43,0.43,-0.23,-1.53,4.87
1,3296.0,0.26,0.24,-0.32,-2.138,5.21
1,3253.0,0.27,0.24,-0.29,-2.131,4.96
1,5975.0,1.15,1.12,0.13,0.18,4.45
1,5975.0,1.14,1.13,0.13,0.17,4.38
1,6051.18,1.18,1.13,0.158,0.225,4.35
1,6251.0,1.45,1.21,0.146,0.46,4.2
2,4777.56,0.76,0.77,0.3,-0.567,4.56
1,4650.0,0.7,0.73,-0.29,-0.678,4.61
1,4652.87,0.7,0.74,-0.063,-0.68,4.61
2,5720.0,1.83,1.02,0.46,0.508,3.92
2,5653.0,1.56,1.22,0.41,0.346,4.13
1,6583.0,1.53,1.32,0.08,0.592,4.1
1,6600.0,1.47,1.39,0.11,0.563,4.25
1,6727.61,1.55,1.43,0.127,0.644,4.22
