sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,,0.49,0.53,,-1.389,4.78
1,7295.00,1.49,1.65,,0.752,4.31
1,,,1.75,-0.027,0.850,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,7190.10,1.56,,,0.765,
1,7276.00,,,0.130,,4.08
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,5758.00,1.18,1.03,0.180,0.136,4.31
1,,,,,,
1,,,,,,
1,5793.00,1.20,1.12,0.200,,4.33
1,5773.00,1.29,,0.200,,4.32
1,,,,,,
1,,,,,,
1,5760.76,1.19,1.07,0.206,,4.32
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,5787.00,1.15,1.05,0.200,0.161,4.36
1,,1.15,1.05,,,4.36
1,,,,,,
1,,,,,,
1,5830.00,1.16,,,0.147,
1,,,1.04,,,
1,5805.00,,1.04,0.210,,4.51
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,5786.00,,,0.200,,4.34
1,,,,,,
1,,,,,,
5,,,0.95,,,
5,5250.00,0.96,0.90,0.350,-0.197,4.42
5,,,,,,
5,,,,,,
5,,,,,,
5,5306.00,0.95,,,-0.194,
5,,,,,,
5,3187.00,0.29,0.26,,-2.108,4.94
5,5334.00,,,0.420,,4.58
5,5307.00,,0.88,0.350,,4.58
5,,,0.95,0.270,,
5,,,,,,
5,5200.00,,0.85,0.230,,4.50
5,,,,,,
5,,0.98,1.01,,,
5,5172.00,0.94,0.91,0.350,,4.43
5,5196.00,0.94,0.91,0.310,-0.235,4.45
5,5234.00,0.94,0.91,0.310,,4.45
5,5172.00,0.95,0.87,0.350,,4.43
5,,,0.95,,,
5,5317.89,0.96,0.97,0.383,,4.46
5,,,,,,
5,,0.94,0.96,,,
5,5250.00,0.96,,,,4.42
5,,,,,,
5,,0.93,0.96,,,4.48
5,5235.00,0.93,0.96,0.310,-0.180,4.48
1,4689.00,6.10,1.30,0.170,,
1,4978.00,5.20,1.70,-0.130,1.176,3.16
1,4941.00,4.94,1.32,-0.170,1.119,3.16
1,5000.00,5.05,,,1.156,
1,4938.00,5.20,1.44,,,3.19
1,5022.00,4.83,1.56,-0.100,,3.15
1,,5.20,1.82,,,
1,,,,,,
1,4938.00,5.16,,-0.010,,
1,,,,,,
3,5562.00,0.98,0.98,-0.030,-0.078,4.44
3,,0.98,0.94,,,4.45
3,,,,,,
3,5577.00,0.96,0.94,-0.010,-0.095,4.34
3,,,,,,
3,,,,,,
3,5571.00,0.98,0.94,0.050,-0.060,4.45
3,,,,,,
3,5558.00,,0.88,-0.020,-0.095,4.36
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,5579.00,,,-0.020,,4.51
3,5585.57,1.03,0.91,0.028,,4.37
3,,,,,,
3,5538.00,0.99,0.93,0.010,-0.085,
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,,,,,,
3,5915.33,0.89,,,-0.063,
2,,,,,,
2,4761.00,,1.34,0.210,,3.11
2,4826.00,4.87,1.34,0.210,1.063,3.19
2,4735.00,5.32,,,1.108,
2,,,,,,
2,,,,,,
2,4799.00,5.01,1.89,,1.079,3.05
2,4792.00,2.30,1.52,0.210,1.053,3.25
2,4794.52,4.91,,0.088,,
2,,,,,,
1,5500.00,,,-0.110,,3.94
1,5531.00,1.84,1.14,-0.060,,3.97
1,5545.00,1.88,1.10,-0.010,0.501,3.96
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,5439.00,1.94,1.09,-0.090,0.451,3.90
1,,,,,,
1,,1.88,1.10,,,3.96
1,5495.00,1.92,0.96,-0.070,0.483,3.85
1,5545.00,,1.11,-0.012,,4.07
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,6245.00,1.50,,,0.487,
1,5495.00,1.89,1.09,,,3.95
1,5481.86,1.92,1.06,-0.040,,3.89
1,5530.00,,0.92,-0.050,,4.05
1,,,,,,
2,4809.00,10.38,1.92,0.100,1.714,2.69
2,4846.25,10.62,,,1.749,
2,,,,,,
2,3710.00,0.57,0.56,,-1.256,4.68
2,4827.32,10.52,,0.033,,
2,,,,,,
2,4904.00,,2.15,0.020,,2.87
2,4846.00,10.50,2.49,0.000,1.730,2.63
1,4847.00,10.30,1.44,-0.030,,2.57
1,4921.22,10.03,,,1.725,
