sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,,0.88,,,,
1,5410.00,0.84,,-0.040,,4.58
1,5368.00,0.85,0.88,-0.080,,
1,5340.50,0.88,,,-0.247,
1,5368.00,0.85,0.88,-0.080,-0.260,4.51
2,3422.25,0.54,,,-1.450,
2,3484.00,0.47,0.47,,-1.535,4.76
2,3580.00,0.47,0.47,0.120,-1.481,
2,3660.00,0.47,0.50,-0.013,,4.78
1,5394.00,0.93,0.94,,-0.180,4.47
1,5481.00,0.91,,,,4.49
1,5261.00,0.81,,,,
1,5390.00,0.91,,,-0.197,
1,5477.00,0.98,0.92,0.078,,4.42
1,,0.91,,,,
1,3428.00,0.39,0.40,0.078,,4.87
1,5509.00,0.89,,0.070,,4.49
1,,,,,,
4,4362.00,0.73,,,,4.54
4,3735.00,0.59,0.58,,-1.213,4.66
4,4362.00,0.73,,,,4.54
4,4285.00,0.70,0.69,-0.120,-0.823,4.58
4,4424.00,0.70,,,-0.766,
4,4362.00,0.73,0.68,,-0.755,4.54
5,,,,,,
5,,0.71,,,,
5,,0.78,,,,
5,,,,,,
5,5068.00,0.78,0.84,0.030,,4.59
5,5106.00,0.78,0.84,0.030,,4.58
5,5035.99,0.80,0.84,0.085,-0.429,4.55
5,,0.77,,,,
5,5006.27,0.77,,,-0.471,
5,,0.77,,,,
1,,1.28,,,,
1,6209.00,1.45,1.16,-0.080,,4.18
1,6120.65,1.47,,,0.436,
1,6177.44,1.50,1.18,-0.166,0.468,4.16
1,,,,,,
1,6035.00,1.31,,-0.070,,4.16
1,5797.00,1.03,1.01,,,4.42
1,5231.00,0.89,,,,4.49
1,5248.00,0.89,0.87,0.130,,4.48
1,5104.50,0.93,,,-0.274,
1,,,,,,
1,5368.00,0.86,0.92,0.150,,4.58
1,5247.00,0.81,,,,
1,5231.00,0.89,0.89,0.130,-0.270,4.49
1,,,,,,
1,5320.00,0.85,0.89,0.140,,4.60
1,5859.32,1.19,1.06,0.127,0.180,4.31
1,5422.00,0.88,,-0.090,,
1,,0.93,,,,
2,4712.91,0.83,0.75,0.230,-0.518,4.48
2,,,,,,
2,,0.73,,,,
2,,0.73,,,,
2,,,,,,
2,4882.55,0.73,,,-0.558,
2,,0.82,,,,
2,4877.00,0.77,0.85,0.260,,4.59
2,4810.00,0.77,,,,4.59
2,,0.82,,,,
1,,,,,,
1,5545.30,1.02,,,,4.41
1,5545.28,1.02,0.98,-0.422,-0.050,4.41
1,,,,,,
1,,0.83,,,,
1,,0.93,,,,
1,5744.50,0.93,,,-0.073,
1,5644.00,0.99,0.83,-0.300,,4.37
1,5363.56,0.82,0.93,-0.355,-0.302,4.58
1,,,,,,
1,5490.00,0.80,,,,4.55
1,5419.00,0.81,0.81,-0.280,,4.53
1,,0.80,,,,
1,5374.00,0.80,,,-0.316,
1,5397.00,0.83,0.86,-0.090,,4.53
1,,0.74,,,,
1,,,,,,
1,5161.00,0.85,0.89,0.200,,4.53
1,5170.00,0.84,,,,4.56
1,,,,,,
1,5051.83,0.87,0.84,0.179,-0.353,4.49
1,,0.86,,,,
1,,,,,,
1,,0.87,,,,
1,5022.00,0.87,,,-0.360,
1,,0.80,,,,
1,5200.00,0.84,0.90,0.200,,4.55
1,5044.00,0.70,0.79,-0.160,,4.64
1,,0.72,,,,
1,5044.00,0.70,0.79,-0.160,,4.64
1,5024.37,0.73,0.84,-0.133,-0.509,4.63
1,,,,,,
1,,,,,,
1,5098.00,0.75,,-0.150,,4.70
1,,0.79,,,,
1,5065.00,0.74,0.81,-0.130,,4.61
1,5038.67,0.72,,,-0.520,
1,,0.74,,,,
2,4847.00,0.70,,,-0.609,
2,,0.75,,,,
2,4812.00,0.73,0.79,0.000,,4.61
2,,0.70,,,,
2,,0.70,,,,
2,4841.00,0.69,0.77,-0.060,,4.65
2,,0.75,,,,
2,,,,,,
2,4783.55,0.74,0.77,-0.023,-0.593,4.59
2,,,,,,
2,4822.00,0.73,,-0.080,,4.44
2,4783.60,0.74,,,,4.59
2,4783.60,0.74,,,,4.59
1,,0.77,,,,
1,4843.00,0.89,0.79,,-0.405,4.44
1,,,,,,
1,,0.82,,,,
1,4951.00,0.82,,,-0.443,
1,5139.00,0.85,0.82,0.070,,4.49
1,5741.00,0.97,1.02,0.110,,4.48
1,,,,,,
1,5673.00,0.98,,,,4.46
1,,0.97,,,,
1,,,,,,
1,5733.00,0.95,,0.040,,4.51
1,,1.01,,,,
1,5640.27,0.97,,,-0.063,
1,5673.00,0.98,1.01,,-0.052,4.46
1,,0.90,,,,
1,,,,,,
1,5557.00,1.71,0.98,,0.399,3.96
1,,1.77,,,,
1,6747.00,1.61,1.40,0.000,,4.17
1,5447.00,1.77,,,0.394,
1,,0.76,,,,
1,5558.00,0.86,0.79,-0.370,,4.46
1,,,,,,
1,5479.00,0.86,,,-0.224,
1,,0.86,,,,
1,5425.98,0.89,0.94,-0.531,-0.205,4.51
1,,0.18,,,,
1,3214.00,0.29,0.26,0.260,,4.93
1,3214.00,0.29,0.26,0.260,,4.93
1,3236.00,0.34,0.32,,-1.940,4.88
1,3236.00,0.34,,,,4.88
1,2997.00,0.18,,,,
1,3292.75,0.28,0.20,,,
1,3940.25,,,,,
1,3290.00,0.28,0.20,0.332,,4.93
1,5351.00,1.37,,,0.140,
1,5742.00,1.28,1.11,0.300,,4.26
1,5500.00,1.28,1.03,0.330,,4.21
1,,1.37,,,,
1,5767.00,1.06,,0.440,,4.47
1,5556.00,1.31,0.98,,0.168,4.19
1,,1.45,,,,
1,4882.90,0.66,,,-0.647,
1,,0.66,,,,
1,,0.75,,,,
1,4498.13,0.86,0.71,0.151,-0.569,4.42
1,4812.00,0.76,0.82,0.220,,4.59
2,,,0.94,,,
2,,1.01,,,,
2,5523.00,0.94,0.95,0.150,,4.47
2,,1.01,,,,
2,5317.00,0.97,0.92,,-0.172,4.43
2,5068.57,1.01,,,-0.215,
2,,0.93,,,,
2,5499.00,1.00,,-0.230,,4.50
1,5072.00,0.71,,,-0.524,
1,4891.00,0.85,0.80,,-0.432,4.48
1,5060.00,0.82,0.89,0.280,,4.56
1,,0.86,,,,
1,,0.71,,,,
1,4140.00,0.61,0.63,0.000,-1.013,4.67
1,4072.00,0.65,0.64,,-0.983,4.62
1,4089.55,0.62,,,-1.010,
1,4072.00,0.65,,,,4.62
4,5144.50,0.77,,,,4.60
4,4975.00,0.79,0.83,0.000,,4.40
4,5144.54,0.77,0.87,0.099,-0.424,4.60
4,5144.50,0.77,,,,4.60
4,4993.88,0.82,,,-0.422,
1,4027.00,0.64,0.63,,-1.015,4.63
1,4035.96,0.63,,,-1.016,
1,3926.00,0.62,0.64,0.000,-1.046,4.70
1,5709.50,1.02,1.02,0.210,-0.006,4.43
1,4994.11,1.18,,,-0.108,
1,5695.00,1.07,1.06,0.200,,4.40
1,3605.00,0.52,0.52,,-1.380,4.72
1,3584.00,0.45,0.52,-0.290,-1.490,4.85
1,,0.31,,,,
1,3341.00,0.32,0.33,-0.210,-1.930,4.96
1,3865.26,,,,,
1,3877.00,1.24,,,-0.505,
1,3809.00,0.38,,,,4.89
1,,1.24,,,,
1,3816.00,0.54,,,,
1,4558.00,1.23,0.72,,-0.229,4.11
1,5529.00,1.02,0.95,0.162,,4.39
1,5392.00,0.86,0.92,0.130,,4.59
1,4950.17,0.81,,,-0.453,
1,5387.06,0.82,,,,4.58
1,,,,,,
1,,0.81,,,,
1,5323.00,0.85,0.94,,,4.55
1,3909.00,0.68,0.65,,-1.008,4.58
1,5222.00,0.75,0.86,0.000,-0.427,4.63
1,5358.00,0.86,0.94,0.160,,4.54
1,5387.06,0.82,0.94,0.283,-0.295,4.58
2,3437.00,0.25,0.22,,-2.106,4.99
2,,,,,,
2,,,,,,
2,6207.00,1.54,1.19,,0.504,4.14
2,6302.00,1.51,1.19,-0.060,,4.23
2,5857.00,1.58,,,0.420,
1,5520.00,0.90,0.93,0.080,,4.50
1,5520.00,0.90,0.93,0.080,-0.166,4.50
1,5416.17,0.96,,,-0.150,
1,5509.00,0.92,,,,4.50
1,5509.00,0.92,0.97,,-0.156,4.50
1,5725.00,1.09,1.00,0.070,,4.33
1,5638.77,1.17,,,0.093,
1,5760.00,1.12,1.03,,0.091,4.36
1,5532.00,0.95,0.96,0.218,,4.52
1,5483.00,0.93,0.96,,-0.153,4.48
1,5379.33,0.94,,,-0.180,
1,5652.00,1.16,1.00,,0.096,4.31
1,5612.00,1.20,0.99,0.194,,4.20
1,5473.17,1.23,,,0.088,
1,,0.67,,,,
1,4444.00,0.70,0.74,0.140,,4.63
1,4492.00,0.77,0.71,,-0.662,4.52
1,4492.00,0.75,,,,4.52
1,4685.20,0.67,,,-0.716,
1,,0.73,,,,
3,4126.69,,,,,
3,3841.00,0.37,0.41,,,4.91
3,,,,,,
3,,0.37,,,,
3,3951.00,0.52,0.53,-0.300,,
3,,0.56,,,,
3,3835.00,0.60,0.62,-0.010,,
3,3927.00,0.58,,,,
3,,0.37,,,,
3,3920.00,0.55,,,,4.69
3,,0.55,0.61,,,4.73
3,3844.00,0.55,0.55,-0.157,-1.231,4.70
3,3896.00,0.56,0.60,-0.320,,4.73
3,,0.37,,,,
3,3835.00,0.60,0.62,-0.010,-1.150,4.66
3,3896.00,0.56,0.60,-0.320,,
3,3896.00,0.56,0.60,-0.320,,4.72
3,3896.00,0.56,0.60,-0.320,,4.72
3,3920.00,0.55,0.55,,-1.190,4.69
1,5425.00,0.84,0.90,-0.150,-0.256,4.54
1,5581.00,0.94,0.98,0.136,-0.112,4.48
1,,,,,,
1,5567.00,0.92,0.93,,,4.48
1,,0.92,,,,
1,5198.00,1.06,0.88,,-0.128,4.33
1,5198.00,1.06,,,,4.33
1,5574.00,0.91,0.97,0.130,,4.53
1,5575.00,0.84,0.92,0.060,-0.270,4.60
1,5016.00,0.92,,,-0.315,
1,5780.00,1.00,,,,4.44
1,5370.00,,,,,
1,6100.00,1.24,1.09,-0.100,,3.94
1,5280.00,0.78,0.91,0.080,,4.60
1,5465.00,0.90,0.97,,,4.52
1,5267.47,0.92,,,-0.231,
1,,,,,,
1,5340.00,1.03,0.92,0.150,-0.110,4.38
1,3754.00,0.16,0.13,,-2.345,5.15
1,5412.00,0.99,1.00,0.200,,4.44
1,5251.00,0.81,,,,
1,3208.00,0.21,0.17,,-2.394,5.05
1,3780.38,,,,,
1,3300.00,0.20,0.17,-0.240,-2.387,5.09
2,3476.33,,,,,
2,3436.00,0.38,0.41,,,4.89
2,3389.00,0.35,0.34,,-1.830,4.87
1,3387.00,0.38,0.40,,,4.88
1,3714.00,,,,,
1,3373.00,0.34,0.32,,-1.871,4.88
1,4100.08,,,,,
1,3707.00,0.56,0.55,,-1.277,4.69
1,3851.00,0.55,0.56,,,4.70
1,5440.00,0.90,0.95,,,4.51
1,5296.00,0.93,0.91,,-0.217,4.46
1,5289.00,0.91,,,-0.237,
1,5440.00,0.90,0.95,,,4.51
4,4686.00,0.72,,,,
4,5415.00,0.84,0.92,0.030,,4.73
4,,0.76,,,,
4,5315.00,0.87,0.87,0.000,,4.43
4,5010.00,0.76,,,-0.488,
4,5428.00,0.92,0.88,,,4.45
4,,0.76,,,,
4,5274.00,0.85,0.90,-0.030,-0.296,4.53
4,,0.84,0.86,,,
4,3190.00,0.23,0.20,,-2.293,5.01
4,,,,,,
4,5315.00,0.87,0.87,0.000,,4.43
4,5271.00,0.86,0.83,-0.060,,4.49
4,5275.00,0.84,0.86,-0.020,,4.49
4,,0.76,,,,
1,3242.00,0.27,0.25,,-2.125,4.96
1,3157.00,0.30,0.12,,,4.55
1,3699.35,,,,,
1,4003.54,,,,,
1,3650.00,0.59,0.58,,-1.254,4.66
1,3650.00,0.59,,,,4.66
1,3855.00,0.58,0.60,,,4.68
1,3964.00,0.62,0.60,,-1.069,4.63
1,3980.00,0.64,,,-1.039,
1,4141.00,0.60,0.63,,,4.68
1,3645.00,0.54,0.53,,-1.339,4.71
1,3710.00,0.55,0.48,,,4.63
1,3967.33,,,,,
1,3645.00,0.54,,,-1.333,
1,3649.00,0.51,0.51,,-1.375,4.73
1,3752.00,0.51,0.52,,,4.74
1,3287.00,0.30,0.27,,,4.84
1,3965.46,,,,,
1,3254.00,0.30,0.27,,-2.048,4.93
1,3924.00,0.69,0.51,,,4.46
1,4000.00,0.68,0.62,,-0.975,4.57
1,3921.67,0.70,,,-0.978,
1,5076.60,0.89,,,-0.329,
1,5278.00,0.84,0.91,,-0.303,4.54
1,5282.00,0.82,0.90,0.098,-0.325,4.57
1,2890.00,0.16,,,,
1,,0.53,,,,
1,3540.00,1.05,0.56,,-0.824,
1,,,,,,
1,3881.10,0.53,,,-1.243,
1,3318.00,0.91,0.35,,-1.044,4.06
1,3410.00,1.10,0.31,,-0.830,3.84
1,,,,,,
1,6232.00,1.50,1.23,-0.030,,4.18
1,6266.98,1.47,1.22,-0.082,0.477,4.19
1,,1.47,,,,
1,6266.98,1.47,,,,4.19
1,6114.00,1.68,,-0.150,,4.01
1,,1.25,,,,
2,5797.00,1.06,1.04,,0.059,4.40
2,6010.00,1.04,,,,4.43
2,5994.00,1.06,1.10,0.080,,4.43
1,,0.20,,,,
1,3266.00,0.29,0.26,,-2.065,4.94
1,3315.00,0.28,0.27,0.090,,4.97
1,,,,,,
1,5880.00,1.22,1.06,0.070,,4.29
1,5790.70,1.20,,,,4.30
1,6070.00,1.19,,,,4.32
1,5790.68,1.20,1.04,0.118,0.165,4.30
1,6890.00,1.41,,,,4.27
1,6315.68,1.51,1.24,0.146,0.514,4.17
1,6502.00,1.49,1.36,0.170,,4.22
1,6315.70,1.51,,,,4.17
1,6272.00,1.33,1.22,,0.395,4.27
1,,,,,,
1,5985.00,1.41,,0.080,,4.14
1,,1.32,,,,
1,6222.00,1.33,1.23,0.100,,4.28
1,5424.00,0.80,0.86,-0.170,,4.56
1,5277.00,0.78,,-0.200,,4.54
1,5296.77,0.80,0.91,-0.206,-0.345,4.59
1,,0.77,,,,
1,,,,,,
1,,1.27,,,,
1,5940.00,1.26,1.08,,0.250,4.27
1,5869.00,1.32,0.94,-0.270,,4.17
1,5656.00,1.06,,-0.280,,4.23
1,,,,,,
1,4504.00,0.63,0.71,,-0.836,4.69
1,,,,,,
1,4558.00,0.63,0.66,-0.230,,4.65
1,,0.51,,,,
1,,0.77,,,,
1,4857.00,0.72,0.74,-0.110,,4.59
1,,0.58,,,,
1,4678.76,0.72,0.75,-0.179,-0.652,4.60
1,,,,,,
1,,0.58,,,,
1,,,,,,
1,6168.00,1.42,1.16,0.010,,4.20
1,6132.00,1.53,1.28,0.240,0.471,4.17
1,6097.67,1.40,,,0.385,
1,,,,,,
1,6132.00,1.22,0.64,0.240,,4.17
1,,1.38,,,,
1,6149.00,1.58,1.23,0.000,0.484,4.20
1,6135.47,1.40,1.16,0.028,0.400,4.21
1,6087.00,1.66,1.31,0.150,,4.11
1,,1.40,,,,
1,5990.00,1.45,1.12,-0.010,,4.11
1,6380.00,1.40,,,,4.24
1,6135.50,1.40,,,,4.21
1,6071.00,1.44,1.15,0.030,,4.18
1,5532.00,1.13,0.93,0.080,,4.30
1,5464.00,1.11,0.96,,-0.002,4.33
1,,1.14,,,,
1,,,,,,
1,5817.00,1.16,0.98,-0.050,,4.30
1,5759.00,1.04,,-0.030,,4.31
1,5857.31,1.12,1.06,0.056,0.126,4.36
1,,1.10,,,,
1,5893.31,1.07,1.07,-0.038,0.093,4.41
1,5920.00,1.09,1.01,-0.060,,4.36
1,6140.00,1.41,,,,4.25
2,3804.00,0.46,0.49,-0.100,,4.80
2,3630.00,0.48,0.48,,-1.439,4.75
2,3790.00,0.47,,,,4.79
2,,0.51,,,,
2,,0.51,,,,
1,3807.00,0.56,,,,4.68
1,3860.00,0.55,,,,4.72
1,3807.00,0.56,0.56,,-1.225,4.68
1,4374.00,0.49,0.51,-0.950,,4.76
1,3675.00,0.54,0.54,,-1.320,4.70
1,,,,,,
1,,0.40,,,,
1,3779.00,0.52,0.56,0.260,,4.74
1,4789.00,0.69,,-0.180,,4.71
1,4678.00,0.71,,,,4.61
1,4801.00,0.70,0.71,-0.180,,4.60
1,,,,,,
1,4678.00,0.71,0.75,,-0.663,4.61
1,,0.66,,,,
1,4599.00,0.63,0.66,-0.260,,4.65
1,,,,,,
1,,0.58,,,,
1,4391.00,0.62,0.69,,-0.894,4.69
2,4954.00,0.87,,,,4.47
2,4954.00,0.87,0.82,,-0.388,4.47
2,5077.00,0.85,0.83,0.130,,4.50
2,5220.00,0.83,,,,4.54
1,,,,,,
1,,0.82,,,,
1,4385.00,0.49,0.54,-0.660,,4.78
1,5274.00,0.79,0.90,,-0.366,4.60
2,4680.00,0.72,0.76,0.040,,4.56
2,,,,,,
2,4326.00,0.67,,,,
2,,0.60,,,,
2,4323.44,0.78,0.68,0.054,-0.719,4.49
2,4426.00,0.60,0.66,,,4.70
2,4402.71,0.62,0.70,,,
2,,0.60,,,,
2,4523.00,0.69,,0.050,,
2,4682.34,0.60,,,-0.803,
2,5789.00,1.04,0.98,-0.020,,4.39
2,5799.00,0.98,1.04,,-0.012,4.47
2,,,,,,
2,,1.01,,,,
1,5769.00,1.05,1.02,0.080,,4.40
1,5739.00,1.04,1.03,,0.024,4.42
1,,,,,,
1,,,,,,
1,,1.10,,,,
3,5930.00,0.92,,,,4.50
3,5791.00,0.95,0.98,-0.050,,4.47
3,5756.75,0.93,1.03,0.053,-0.063,4.51
1,5698.00,0.99,0.87,-0.210,,4.38
1,5480.81,1.02,0.96,-0.232,-0.076,4.41
1,5480.80,1.02,,,,4.41
1,,,,,,
1,3510.00,0.42,0.42,,-1.614,4.81
1,3669.00,0.41,0.43,-0.040,,4.86
1,5571.10,0.94,0.98,0.111,-0.115,4.48
1,5790.00,0.92,0.96,-0.120,,4.49
1,5499.87,0.83,0.96,-0.102,-0.244,4.58
1,5568.00,0.86,0.90,-0.110,,4.52
1,5568.00,0.86,0.90,-0.110,,4.52
1,5794.00,1.00,0.98,-0.020,,4.43
1,5664.00,0.96,1.01,,-0.066,4.48
1,5531.16,0.90,0.97,0.110,-0.161,4.51
1,5650.00,0.91,0.93,-0.070,,4.49
1,5650.00,0.91,0.93,-0.070,,4.49
2,4953.00,0.73,0.81,,,4.60
2,4916.00,0.72,0.79,-0.090,-0.570,4.62
2,4924.00,0.74,0.80,-0.030,,4.65
2,4808.20,0.73,,,-0.592,
2,,,,,,
2,,0.73,,,,
2,4953.00,0.75,0.81,,,4.60
2,4886.00,0.74,,,,
2,4916.00,0.72,0.79,,,
2,4772.39,0.75,0.77,-0.047,-0.575,4.57
2,4944.00,0.75,0.80,-0.030,,4.70
1,5484.00,0.87,,,,
1,,1.11,,,,
1,5568.00,1.06,0.98,,-0.014,4.38
1,5869.00,0.99,,0.020,,4.53
1,,1.11,,,,
1,,,,,,
1,5561.00,1.05,0.82,-0.021,,4.31
1,,0.73,,,,
1,5732.00,0.89,1.02,,-0.109,4.54
1,5601.00,0.94,0.82,-0.216,,4.41
1,4574.00,0.70,,,,
1,4462.00,0.63,0.70,,-0.854,4.69
1,,0.58,,,,
1,4348.00,0.62,0.76,-0.351,,4.73
1,4396.00,0.68,,,,
3,4663.00,0.66,0.75,-0.250,,4.67
3,,0.58,,,,
3,4730.00,0.67,0.76,,-0.693,4.67
3,4679.00,0.72,,,,
3,,0.58,,,,
1,5744.00,0.90,,-0.140,,4.57
1,5350.00,0.83,,,,
1,5682.00,0.88,0.73,-0.234,,4.42
1,,0.87,,,,
1,5773.00,0.87,1.03,,-0.121,4.57
3,,0.79,,,,
3,5382.00,0.82,0.89,-0.070,,4.66
3,4953.00,0.79,,,-0.469,
3,4740.00,0.72,,,,
3,4927.00,0.86,0.81,,-0.408,4.48
3,5413.00,0.85,0.90,-0.030,,4.52
3,,,,,,
3,,0.79,,,,
3,5512.00,0.87,0.90,,,4.51
1,5377.00,0.97,0.98,0.018,,4.45
1,5377.00,0.97,0.98,0.018,,4.45
1,5372.00,1.00,0.93,,-0.127,4.41
1,5372.00,1.00,,,,4.41
1,4973.00,0.75,,,,4.44
1,4952.00,0.75,0.82,,-0.517,4.60
1,,,,,,
1,,,,,,
1,,0.72,,,,
1,4925.00,0.74,0.96,-0.107,,4.68
1,,0.77,,,,
1,5500.23,0.96,0.96,0.018,-0.122,4.46
1,,0.94,,,,
1,5479.00,0.92,0.85,-0.064,,4.44
1,,0.91,,,,
1,,,,,,
1,5980.67,1.53,1.10,0.011,0.432,4.11
1,,1.51,,,,
1,6138.00,1.49,1.16,0.049,,4.16
2,5786.59,0.93,1.04,-0.303,-0.059,4.52
2,5789.00,0.91,0.73,-0.292,,4.39
2,5789.00,0.91,0.73,-0.292,,4.39
1,5826.08,1.55,1.05,-0.054,0.396,4.08
1,,,,,,
1,5822.00,1.54,1.12,-0.091,,4.11
1,5838.00,1.07,,0.030,,4.32
1,,1.55,,,,
1,5937.00,1.15,0.91,-0.176,,4.28
1,6044.00,1.13,1.12,,0.189,4.38
1,5937.00,1.15,0.91,-0.176,,4.28
1,,,,,,
1,4200.00,0.69,0.82,-0.008,,4.67
1,,0.65,,,,
1,4314.00,0.70,0.67,,-0.818,4.58
1,4823.00,0.73,0.92,-0.206,,4.67
1,,0.73,,,,
1,4854.00,0.74,0.79,,-0.567,4.60
1,,,,,,
1,4534.00,0.78,0.71,,-0.633,4.51
1,,0.69,,,,
1,4603.00,0.75,0.86,-0.045,,4.62
2,5758.00,1.12,1.08,,,4.36
2,5679.00,1.16,1.01,0.230,0.103,4.31
2,5182.70,1.24,,,0.000,
2,5705.00,1.14,1.05,0.235,,
2,,1.24,,,,
2,5731.00,1.06,1.03,0.260,0.037,4.38
2,5757.00,1.10,1.07,0.280,,4.35
2,5757.00,1.38,2.24,0.280,,4.35
1,5572.00,1.35,0.98,,0.202,4.17
1,5911.00,1.32,0.99,-0.049,,4.19
1,,1.13,,,,
3,,0.62,,,,
3,4575.00,0.68,0.72,,-0.739,4.63
3,,0.70,,,,
3,4473.00,0.68,0.75,-0.244,,4.65
3,4661.00,0.65,,-0.330,,4.66
3,4710.00,0.62,,,,
3,,0.62,,,,
3,4661.00,0.65,,-0.330,,4.66
1,5452.00,0.81,0.92,-0.027,,4.58
1,5570.00,0.88,,0.000,,4.61
1,5390.00,0.83,0.94,,-0.280,4.57
1,,0.81,,,,
1,,0.88,,,,
1,4979.00,0.85,0.82,,-0.397,4.49
1,5129.00,0.80,1.06,0.187,,4.66
1,5231.00,0.83,,0.210,,4.68
5,3860.00,0.26,,,,
5,,0.26,,,,
5,3623.00,0.35,0.33,0.068,,4.87
5,3343.00,0.35,0.33,,-1.870,4.88
1,4886.00,0.77,0.80,,-0.519,4.57
1,4844.00,0.76,0.93,-0.224,,4.64
1,,0.73,,,,
1,,1.01,,,,
1,5592.00,1.01,,,,
1,5791.58,0.97,1.04,0.067,-0.019,4.48
1,5749.00,0.97,0.91,0.074,,4.42
1,,0.66,,,,
1,3572.00,0.58,0.57,0.126,,4.66
1,3706.00,0.58,0.57,,-1.239,4.67
1,,0.35,,,,
1,5289.00,0.93,,,,4.46
1,5367.00,0.90,0.84,0.124,,4.46
1,5289.00,0.93,0.91,,-0.212,4.46
1,5367.00,0.90,0.84,0.124,,4.46
2,5782.00,1.08,0.80,-0.034,,4.27
2,5782.00,1.08,0.80,-0.034,,4.27
2,5422.20,1.28,0.94,-0.220,0.106,4.20
1,,,,,,
1,4993.00,2.59,1.17,,,3.68
1,4881.00,2.97,0.66,0.320,,3.44
1,4881.00,3.88,1.53,0.320,,3.44
1,4843.00,0.74,,,,
1,4859.97,3.06,,,0.674,
1,4912.00,2.93,1.19,0.430,,3.58
1,4911.00,3.12,,0.390,,
1,5512.00,0.98,,,,4.44
1,5558.00,0.97,0.79,-0.116,,4.37
1,5512.00,0.98,0.97,,-0.099,4.44
1,5558.00,0.97,0.79,-0.116,,4.37
1,5379.00,1.81,0.93,,0.391,3.89
1,5543.00,0.57,0.76,-0.543,,4.97
1,5543.00,0.57,0.76,-0.543,,4.97
1,5726.00,1.06,0.84,-0.238,,4.31
1,5726.00,1.06,0.84,-0.238,,4.31
1,5791.00,1.05,1.04,,0.048,4.41
1,5678.00,1.07,0.88,0.076,,4.32
1,5540.00,1.12,,,,
1,5729.00,1.07,1.02,,0.043,4.39
1,4197.00,0.70,,,,4.56
1,4197.00,0.70,0.66,,-0.858,4.56
1,4490.00,0.58,,,,
1,4938.00,0.63,0.48,-0.388,,4.51
2,4884.00,0.87,0.80,,-0.413,4.46
2,5007.00,0.78,0.95,-0.033,,4.63
2,5007.00,0.78,0.95,-0.033,,4.63
2,5236.00,0.92,0.95,0.237,,4.49
2,5153.00,0.96,0.87,,-0.230,4.41
2,5236.00,0.92,0.95,0.237,,4.49
1,5387.00,0.97,0.94,0.110,,4.43
1,5387.00,0.97,0.94,0.110,,4.43
1,5405.00,0.97,0.94,,-0.145,4.44
2,5946.00,1.24,0.94,-0.257,,4.23
2,5945.82,1.27,1.09,-0.257,0.260,4.27
2,5946.00,1.24,0.94,-0.257,,4.23
1,,,,,,
1,4044.00,0.43,0.49,,,4.85
1,4014.73,0.57,0.64,,,
1,4197.00,0.60,0.63,-0.120,,
1,4326.00,0.57,,,-0.986,
1,4077.00,0.62,,,,
1,4120.00,0.68,0.64,,-0.915,4.57
1,,0.57,,,,
1,3578.00,0.38,0.37,-0.051,,4.85
1,3578.00,0.38,0.37,-0.051,,4.85
1,3411.00,0.38,0.37,,-1.748,4.84
1,4213.00,0.68,0.87,-0.098,,4.72
1,4213.00,0.68,0.87,-0.098,,4.72
1,4328.00,0.68,0.68,,-0.835,4.60
1,5836.00,1.25,1.05,,0.209,4.27
1,5716.00,1.28,0.94,-0.378,,4.20
1,5716.00,1.28,0.94,-0.378,,4.20
1,5511.00,0.89,0.78,-0.162,,4.44
1,5468.00,0.91,0.96,,-0.171,4.50
1,5468.00,0.91,,,,4.50
1,5511.00,0.89,0.78,-0.162,,4.44
1,3748.00,0.55,0.55,0.005,,4.70
1,3748.00,0.55,0.55,0.005,,4.70
1,3802.00,0.55,0.55,,-1.239,4.69
1,4870.00,0.80,0.79,,-0.488,4.53
1,4870.00,0.80,,,,4.53
1,4927.00,0.77,1.03,0.132,,4.68
1,4927.00,0.77,1.03,0.132,,4.68
1,6294.00,0.97,,,,4.54
1,5784.00,0.96,0.80,-0.038,,4.37
1,5784.00,0.96,0.80,-0.038,,4.37
1,5666.00,0.97,1.01,,-0.060,4.47
2,5563.00,0.93,0.88,0.014,,4.45
2,5500.15,0.95,0.96,0.000,-0.127,4.47
2,5563.00,0.93,0.88,0.014,,4.45
1,5335.00,0.78,0.81,-0.171,,4.56
1,5265.70,0.82,0.90,-1.050,-0.330,4.56
1,5335.00,0.78,0.81,-0.171,,4.56
1,5742.00,1.23,0.89,-0.036,,4.20
1,5742.00,1.23,0.89,-0.036,,4.20
1,5644.00,1.28,1.00,,0.172,4.23
1,5711.05,1.37,1.02,0.142,0.258,4.17
1,5711.00,1.38,1.02,0.141,,4.17
1,5590.00,0.98,0.89,0.014,,4.41
1,5172.00,1.15,0.88,,-0.071,4.26
2,4129.00,0.75,0.65,,-0.833,4.50
2,4116.00,0.70,0.81,-0.205,,4.66
2,4343.00,0.73,0.81,-0.102,,4.62
2,4436.00,0.75,0.69,,-0.705,4.52
1,3173.00,0.20,0.16,-0.130,-2.455,5.07
1,3166.00,0.19,,,,5.07
1,3166.00,0.19,0.16,,-2.466,5.07
1,3746.00,0.55,0.55,,-1.270,4.69
1,3689.00,0.55,0.55,,-1.294,4.69
1,3795.00,0.58,0.57,,-1.207,4.67
1,3861.00,0.58,0.57,,-1.202,4.67
1,3728.00,0.54,,,,4.70
1,,0.55,,,,
